Ebay ID,Description,Sold_Date,Sold_Price
231926477431,"Marble Matt Hard Case Shell Keyboard Cover for Macbook Pro 13/15"" Air 11/13""inch",2018-06-16 07:08AM,$4.99
231926477431,"Marble Matt Hard Case Shell Keyboard Cover for Macbook Pro 13/15"" Air 11/13""inch",2018-06-16 07:08AM,$3.99
231926477431,"Marble Matt Hard Case Shell Keyboard Cover for Macbook Pro 13/15"" Air 11/13""inch",2018-06-16 07:08AM,$5.89
231926477431,"Marble Matt Hard Case Shell Keyboard Cover for Macbook Pro 13/15"" Air 11/13""inch",2018-06-16 07:08AM,$6.89
231926477431,"Marble Matt Hard Case Shell Keyboard Cover for Macbook Pro 13/15"" Air 11/13""inch",2018-06-16 07:08AM,$5.89
231926477431,"Marble Matt Hard Case Shell Keyboard Cover for Macbook Pro 13/15"" Air 11/13""inch",2018-06-16 07:08AM,$6.69
231926477431,"Marble Matt Hard Case Shell Keyboard Cover for Macbook Pro 13/15"" Air 11/13""inch",2018-06-16 07:08AM,$8.99
231926477431,"Marble Matt Hard Case Shell Keyboard Cover for Macbook Pro 13/15"" Air 11/13""inch",2018-06-16 07:08AM,$8.99
231926477431,"Marble Matt Hard Case Shell Keyboard Cover for Macbook Pro 13/15"" Air 11/13""inch",2018-06-16 07:08AM,$5.99
231926477431,"Marble Matt Hard Case Shell Keyboard Cover for Macbook Pro 13/15"" Air 11/13""inch",2018-06-16 07:08AM,$5.99
231926477431,"Marble Matt Hard Case Shell Keyboard Cover for Macbook Pro 13/15"" Air 11/13""inch",2018-06-16 07:08AM,$8.99
231926477431,"Marble Matt Hard Case Shell Keyboard Cover for Macbook Pro 13/15"" Air 11/13""inch",2018-06-16 07:08AM,$5.99
231926477431,"Marble Matt Hard Case Shell Keyboard Cover for Macbook Pro 13/15"" Air 11/13""inch",2018-06-16 07:08AM,$5.99
